,Algorithms,Total Instances,num_classes,Training #,Testing #,accuracy,kappa,ch_accuracy,ch_kappa,points_flipped,ave_ch_confi,max_ch_confi
67,Logistic Regression,6000,16,3948,1316,0.5,0.467,0.0,0.0,0.0,0.001,0.001
68,FFNN,6000,32,3720,1240,0.823,0.817,0.003,0.003,0.014,0.048,0.088
69,Logistic Regression,6000,32,3720,1240,0.219,0.194,0.0,0.0,0.001,0.002,0.004
70,FFNN,6000,64,3456,1152,0.411,0.401,0.002,0.002,0.019,0.014,0.023
71,Logistic Regression,6000,64,3456,1152,0.235,0.223,0.001,0.001,0.003,0.003,0.009
72,FFNN,7000,2,4933,1645,1.0,1.0,0.0,0.0,0.0,0.0,0.0
73,Logistic Regression,7000,2,4933,1645,1.0,1.0,0.0,0.0,0.0,0.0,0.0
74,FFNN,7000,4,4806,1602,1.0,1.0,0.0,0.0,0.0,0.0,0.001
75,Logistic Regression,7000,4,4806,1602,0.999,0.999,0.0,0.0,0.0,0.0,0.002
76,FFNN,7000,8,4758,1586,1.0,1.0,0.0,0.0,0.0,0.001,0.003
77,Logistic Regression,7000,8,4758,1586,0.849,0.827,0.0,0.0,0.0,0.0,0.001
78,FFNN,7000,16,4668,1556,0.92,0.915,0.001,0.001,0.001,0.016,0.042
79,Logistic Regression,7000,16,4668,1556,0.404,0.365,0.0,0.0,0.0,0.001,0.001
80,FFNN,7000,32,4320,1440,0.852,0.847,0.001,0.001,0.004,0.031,0.053
81,Logistic Regression,7000,32,4320,1440,0.297,0.274,0.0,0.0,0.001,0.001,0.003
82,FFNN,7000,64,4032,1344,0.443,0.434,0.002,0.002,0.021,0.02,0.032
83,Logistic Regression,7000,64,4032,1344,0.214,0.202,0.0,0.0,0.003,0.002,0.006
84,FFNN,8000,2,5665,1889,1.0,1.0,0.0,0.0,0.0,0.0,0.0
85,Logistic Regression,8000,2,5665,1889,1.0,1.0,0.0,0.0,0.0,0.0,0.0
86,FFNN,8000,4,5541,1847,1.0,1.0,0.0,0.0,0.0,0.0,0.001
